Minute,Player,Squad,Outcome,Distance,Body Part,Notes,SCA 1 Player,SCA 1 Event,SCA 2 Player,SCA 2 Event,date
28,N'Golo Kanté,Chelsea,Goal,18.0,Left Foot,,Reece James,Pass (Live),Reece James,Dribble,2021-11-20
38,N'Golo Kanté,Chelsea,Saved,8.0,Head,,Ben Chilwell,Pass (Live),Mason Mount,Pass (Live),2021-11-20
45+1,Reece James,Chelsea,Blocked,22.0,Right Foot,Free kick,Kai Havertz,Fouled,Edouard Mendy,Pass (Live),2021-11-20
45+1,Trevoh Chalobah,Chelsea,Wayward,27.0,Right Foot,Half volley,Reece James,Shot,,,2021-11-20
53,Ben Chilwell,Chelsea,Saved,18.0,Left Foot,,Callum Hudson-Odoi,Pass (Live),Callum Hudson-Odoi,Dribble,2021-11-20
55,Callum Hudson-Odoi,Chelsea,Saved,16.0,Right Foot,Half volley,,,,,2021-11-20
58,James Maddison,Leicester City,Saved,27.0,Left Foot,,Marc Albrighton,Pass (Dead),,,2021-11-20
61,Callum Hudson-Odoi,Chelsea,Off Target,14.0,Right Foot,,Callum Hudson-Odoi,Dribble,Antonio Rüdiger,Pass (Live),2021-11-20
63,Daniel Amartey,Leicester City,Saved,33.0,Right Foot,,,,,,2021-11-20
65,Jamie Vardy,Leicester City,Off Target,5.0,Head,,James Maddison,Pass (Live),Kelechi Iheanacho,Pass (Live),2021-11-20
68,Christian Pulisic,Chelsea,Off Target,6.0,Right Foot,Half volley,Hakim Ziyech,Pass (Live),Jorginho,Pass (Live),2021-11-20
71,Christian Pulisic,Chelsea,Goal,4.0,Right Foot,,Hakim Ziyech,Pass (Live),Hakim Ziyech,Dribble,2021-11-20
73,Hakim Ziyech,Chelsea,Blocked,16.0,Left Foot,,Reece James,Pass (Live),N'Golo Kanté,Pass (Live),2021-11-20
82,James Maddison,Leicester City,Saved,27.0,Left Foot,Deflected,Kiernan Dewsbury Hall,Pass (Live),Kelechi Iheanacho,Pass (Live),2021-11-20
88,Ben Chilwell,Chelsea,Off Target,26.0,Left Foot,,Christian Pulisic,Pass (Live),Trevoh Chalobah,Pass (Live),2021-11-20
5,Jarrod Bowen,West Ham,Blocked,28.0,Left Foot,,Saïd Benrahma,Tackle,,,2021-11-20
12,Jarrod Bowen,West Ham,Off Target,9.0,Head,,Aaron Cresswell,Pass (Live),Jarrod Bowen,Pass (Live),2021-11-20
13,Tomáš Souček,West Ham,Saved,25.0,Right Foot,,Michail Antonio,Pass (Live),,,2021-11-20
20,Rúben Neves,Wolves,Saved,33.0,Right Foot,,,,,,2021-11-20
28,Nélson Semedo,Wolves,Off Target,18.0,Left Foot,Half volley,,,,,2021-11-20
31,Nélson Semedo,Wolves,Blocked,13.0,Right Foot,Half volley,,,,,2021-11-20
33,Raúl Jiménez,Wolves,Off Target,13.0,Right Foot,Lob,Rúben Neves,Pass (Live),Max Kilman,Pass (Live),2021-11-20
34,João Moutinho,Wolves,Saved,28.0,Right Foot,,Hwang Hee-chan,Pass (Live),Rayan Aït Nouri,Pass (Live),2021-11-20
35,Romain Saïss,Wolves,Off Target,6.0,Head,,Rayan Aït Nouri,Pass (Dead),João Moutinho,Shot,2021-11-20
42,Nélson Semedo,Wolves,Off Target,24.0,Right Foot,,Daniel Podence,Pass (Live),,,2021-11-20
48,Daniel Podence,Wolves,Saved,21.0,Right Foot,,João Moutinho,Pass (Live),Hwang Hee-chan,Pass (Live),2021-11-20
48,Max Kilman,Wolves,Blocked,8.0,Head,,Rayan Aït Nouri,Pass (Dead),Daniel Podence,Shot,2021-11-20
51,Rúben Neves,Wolves,Off Target,26.0,Right Foot,Volley,,,,,2021-11-20
56,Daniel Podence,Wolves,Saved,17.0,Right Foot,,João Moutinho,Pass (Live),Rúben Neves,Pass (Live),2021-11-20
57,Michail Antonio,West Ham,Blocked,26.0,Left Foot,,Ben Johnson,Pass (Live),,,2021-11-20
57,Declan Rice,West Ham,Saved,29.0,Right Foot,,Declan Rice,Dribble,,,2021-11-20
58,Raúl Jiménez,Wolves,Goal,19.0,Right Foot,,Daniel Podence,Pass (Live),Raúl Jiménez,Pass (Live),2021-11-20
64,Rúben Neves,Wolves,Off Target,13.0,Right Foot,,Daniel Podence,Pass (Live),Rúben Neves,Pass (Live),2021-11-20
65,Michail Antonio,West Ham,Off Target,19.0,Left Foot,,,,,,2021-11-20
70,Jarrod Bowen,West Ham,Off Target,14.0,Left Foot,,Michail Antonio,Pass (Live),Michail Antonio,Dribble,2021-11-20
75,Craig Dawson,West Ham,Wayward,8.0,Head,,Aaron Cresswell,Pass (Dead),Nikola Vlašić,Pass (Live),2021-11-20
78,Andriy Yarmolenko,West Ham,Blocked,19.0,Left Foot,,Michail Antonio,Pass (Live),Ben Johnson,Pass (Live),2021-11-20
87,Max Kilman,Wolves,Off Target,12.0,Right Foot,Volley,Rayan Aït Nouri,Pass (Dead),Nélson Semedo,Fouled,2021-11-20
90+3,Adama Traoré,Wolves,Blocked,22.0,Right Foot,,Adama Traoré,Fouled,Romain Saïss,Pass (Live),2021-11-20
11,Ismaila Sarr (pen),Watford,Saved,12.0,Right Foot,,Joshua King,Fouled,,,2021-11-20
11,Moussa Sissoko,Watford,Blocked,8.0,Head,,Imran Louza,Pass (Dead),,,2021-11-20
12,Emmanuel Dennis,Watford,Wayward,8.0,Head,,Imran Louza,Pass (Dead),Moussa Sissoko,Shot,2021-11-20
13,Cristiano Ronaldo,Manchester Utd,Blocked,16.0,Left Foot,,,,,,2021-11-20
18,Joshua King,Watford,Blocked,17.0,Right Foot,,Adam Masina,Pass (Live),Adam Masina,Tackle,2021-11-20
23,Joshua King,Watford,Blocked,9.0,Right Foot,Half volley,Imran Louza,Pass (Dead),,,2021-11-20
27,Ismaila Sarr,Watford,Blocked,15.0,Left Foot,,Ismaila Sarr,Interception,,,2021-11-20
28,Joshua King,Watford,Goal,8.0,Left Foot,,Emmanuel Dennis,Pass (Live),,,2021-11-20
32,Marcus Rashford,Manchester Utd,Saved,14.0,Right Foot,Volley,Bruno Fernandes,Pass (Live),Nemanja Matić,Pass (Live),2021-11-20
33,Joshua King,Watford,Blocked,20.0,Right Foot,,Ismaila Sarr,Pass (Live),Ismaila Sarr,Interception,2021-11-20
40,Joshua King,Watford,Saved,10.0,Head,,Adam Masina,Pass (Live),Emmanuel Dennis,Pass (Live),2021-11-20
40,Moussa Sissoko,Watford,Off Target,17.0,Right Foot,Volley,Joshua King,Shot,,,2021-11-20
44,Ismaila Sarr,Watford,Goal,16.0,Right Foot,Half volley,Kiko Femenía,Pass (Live),,,2021-11-20
50,Donny van de Beek,Manchester Utd,Goal,5.0,Head,"Open goal, Diving header",Cristiano Ronaldo,Pass (Live),Jadon Sancho,Pass (Live),2021-11-20
52,Joshua King,Watford,Saved,11.0,Right Foot,,Emmanuel Dennis,Pass (Live),Moussa Sissoko,Pass (Live),2021-11-20
55,Bruno Fernandes,Manchester Utd,Off Target,16.0,Right Foot,Volley,Jadon Sancho,Pass (Live),Donny van de Beek,Pass (Live),2021-11-20
57,Cristiano Ronaldo,Manchester Utd,Saved,16.0,Right Foot,,Donny van de Beek,Pass (Live),Harry Maguire,Pass (Live),2021-11-20
64,Imran Louza,Watford,Blocked,25.0,Left Foot,Free kick,Ismaila Sarr,Fouled,Ismaila Sarr,Pass (Live),2021-11-20
68,Nemanja Matić,Manchester Utd,Off Target,21.0,Left Foot,,Donny van de Beek,Pass (Live),,,2021-11-20
70,Emmanuel Dennis,Watford,Off Target,30.0,Right Foot,Free kick,Tom Cleverley,Fouled,,,2021-11-20
71,Emmanuel Dennis,Watford,Blocked,23.0,Right Foot,,Joshua King,Pass (Live),Moussa Sissoko,Pass (Live),2021-11-20
72,Cristiano Ronaldo,Manchester Utd,Off Target,17.0,Right Foot,Half volley,Donny van de Beek,Pass (Live),Jadon Sancho,Pass (Live),2021-11-20
76,Cristiano Ronaldo,Manchester Utd,Off Target,12.0,Head,,Jadon Sancho,Pass (Live),Jadon Sancho,Dribble,2021-11-20
79,Bruno Fernandes,Manchester Utd,Off Target,20.0,Right Foot,,Cristiano Ronaldo,Pass (Live),Cristiano Ronaldo,Dribble,2021-11-20
85,João Pedro,Watford,Off Target,7.0,Head,,Adam Masina,Pass (Dead),João Pedro,Pass (Live),2021-11-20
90,João Pedro,Watford,Off Target,23.0,Right Foot,,Cucho,Pass (Live),Kiko Femenía,Pass (Live),2021-11-20
90+2,João Pedro,Watford,Saved,12.0,Right Foot,,Cucho,Pass (Live),Emmanuel Dennis,Pass (Live),2021-11-20
90+2,João Pedro,Watford,Goal,11.0,Right Foot,,Emmanuel Dennis,Pass (Live),Kiko Femenía,Pass (Live),2021-11-20
90+6,Emmanuel Dennis,Watford,Goal,12.0,Right Foot,,Ben Foster,Pass (Live),,,2021-11-20
4,Che Adams,Southampton,Goal,12.0,Right Foot,,Adam Armstrong,Pass (Live),Oriol Romeu,Pass (Live),2021-11-20
7,Teemu Pukki,Norwich City,Goal,7.0,Head,,Max Aarons,Pass (Live),Milot Rashica,Pass (Live),2021-11-20
15,Mohamed Elyounoussi,Southampton,Blocked,12.0,Left Foot,Volley,Adam Armstrong,Pass (Live),Kyle Walker-Peters,Pass (Live),2021-11-20
15,James Ward-Prowse,Southampton,Saved,19.0,Left Foot,,Mohamed Elyounoussi,Shot,,,2021-11-20
16,Kyle Walker-Peters,Southampton,Blocked,20.0,Right Foot,,Kyle Walker-Peters,Dribble,Mohamed Elyounoussi,Pass (Live),2021-11-20
20,Mohamed Elyounoussi,Southampton,Off Target,19.0,Right Foot,,Che Adams,Pass (Live),Mohammed Salisu,Pass (Live),2021-11-20
21,Adam Armstrong,Southampton,Blocked,22.0,Right Foot,,,,,,2021-11-20
27,Mohamed Elyounoussi,Southampton,Off Target,19.0,Right Foot,Volley,,,,,2021-11-20
30,Adam Armstrong,Southampton,Blocked,7.0,Left Foot,,Mohamed Elyounoussi,Pass (Live),Kyle Walker-Peters,Pass (Live),2021-11-20
34,Mohammed Salisu,Southampton,Saved,32.0,Left Foot,,James Ward-Prowse,Pass (Live),Ibrahima Diallo,Pass (Live),2021-11-20
40,Mohamed Elyounoussi,Southampton,Blocked,19.0,Left Foot,,Ibrahima Diallo,Pass (Live),Ibrahima Diallo,Dribble,2021-11-20
40,James Ward-Prowse,Southampton,Off Target,35.0,Right Foot,,Kyle Walker-Peters,Tackle,,,2021-11-20
43,Che Adams,Southampton,Saved,15.0,Right Foot,,Ibrahima Diallo,Pass (Live),,,2021-11-20
53,Milot Rashica,Norwich City,Saved,20.0,Left Foot,,Mathias Normann,Pass (Live),Billy Gilmour,Pass (Live),2021-11-20
54,Josh Sargent,Norwich City,Blocked,16.0,Right Foot,,,,,,2021-11-20
59,Ben Gibson,Norwich City,Off Target,6.0,Head,,Billy Gilmour,Pass (Dead),Mathias Normann,Pass (Live),2021-11-20
62,Kenny McLean,Norwich City,Blocked,25.0,Left Foot,,Kenny McLean,Interception,,,2021-11-20
67,Mathias Normann,Norwich City,Off Target,31.0,Right Foot,,Kenny McLean,Pass (Live),Milot Rashica,Pass (Live),2021-11-20
70,Oriol Romeu,Southampton,Blocked,20.0,Right Foot,,James Ward-Prowse,Pass (Live),Oriol Romeu,Pass (Live),2021-11-20
76,Teemu Pukki,Norwich City,Saved,13.0,Right Foot,,Billy Gilmour,Pass (Live),Billy Gilmour,Dribble,2021-11-20
79,Grant Hanley,Norwich City,Goal,5.0,Head,,Billy Gilmour,Pass (Dead),,,2021-11-20
85,Adam Armstrong,Southampton,Blocked,22.0,Right Foot,,Adam Armstrong,Dribble,Kyle Walker-Peters,Pass (Live),2021-11-20
87,Jan Bednarek,Southampton,Blocked,8.0,Right Foot,Half volley,James Ward-Prowse,Pass (Dead),,,2021-11-20
88,Adam Armstrong,Southampton,Saved,23.0,Left Foot,,James Ward-Prowse,Pass (Live),Lyanco,Pass (Live),2021-11-20
90+3,Theo Walcott,Southampton,Off Target,9.0,Head,,James Ward-Prowse,Pass (Live),Jan Bednarek,Pass (Live),2021-11-20
12,Matty Cash,Aston Villa,Saved,8.0,Head,,Matt Targett,Pass (Live),Ollie Watkins,Pass (Live),2021-11-20
31,Leandro Trossard,Brighton,Saved,9.0,Left Foot,Half volley,,,,,2021-11-20
40,Tyrone Mings,Aston Villa,Blocked,37.0,Left Foot,,Ezri Konsa,Pass (Live),Matty Cash,Pass (Live),2021-11-20
45+1,Tariq Lamptey,Brighton,Saved,10.0,Right Foot,,Jakub Moder,Pass (Live),Jakub Moder,Dribble,2021-11-20
45+1,Pascal Groß,Brighton,Blocked,18.0,Right Foot,Half volley,Tariq Lamptey,Shot,,,2021-11-20
47,Tyrone Mings,Aston Villa,Saved,9.0,Head,,John McGinn,Pass (Dead),Jacob Ramsey,Fouled,2021-11-20
49,Emi Buendía,Aston Villa,Blocked,25.0,Right Foot,,,,,,2021-11-20
63,Leandro Trossard,Brighton,Blocked,17.0,Right Foot,Half volley,Adam Lallana,Pass (Live),Pascal Groß,Pass (Live),2021-11-20
64,Adam Webster,Brighton,Blocked,24.0,Left Foot,,Pascal Groß,Pass (Live),Tariq Lamptey,Pass (Live),2021-11-20
84,Ollie Watkins,Aston Villa,Goal,16.0,Right Foot,,Ashley Young,Pass (Live),Ashley Young,Dribble,2021-11-20
88,Leon Bailey,Aston Villa,Blocked,9.0,Left Foot,Back heel,Matt Targett,Pass (Live),Ashley Young,Pass (Live),2021-11-20
89,Tyrone Mings,Aston Villa,Goal,11.0,Right Foot,,,,,,2021-11-20
90+2,Alexis Mac Allister,Brighton,Blocked,19.0,Right Foot,,Leandro Trossard,Pass (Live),Solly March,Pass (Live),2021-11-20
90+4,Leon Bailey,Aston Villa,Saved,13.0,Right Foot,Volley,Matt Targett,Pass (Live),Ashley Young,Pass (Live),2021-11-20
90+4,Ollie Watkins,Aston Villa,Wayward,13.0,Right Foot,Volley,Leon Bailey,Shot,,,2021-11-20
3,Callum Wilson,Newcastle Utd,Off Target,8.0,Head,,Joelinton,Pass (Live),Jacob Murphy,Pass (Live),2021-11-20
6,Sergi Canós,Brentford,Off Target,13.0,Right Foot,,Bryan Mbeumo,Pass (Live),Saman Ghoddos,Pass (Live),2021-11-20
9,Joelinton,Newcastle Utd,Blocked,21.0,Right Foot,,Allan Saint-Maximin,Pass (Live),Callum Wilson,Pass (Live),2021-11-20
10,Jamaal Lascelles,Newcastle Utd,Goal,6.0,Head,,Matt Ritchie,Pass (Dead),Joelinton,Shot,2021-11-20
11,Ivan Toney,Brentford,Goal,16.0,Right Foot,,Sergi Canós,Pass (Live),Bryan Mbeumo,Pass (Live),2021-11-20
15,Allan Saint-Maximin,Newcastle Utd,Off Target,12.0,Head,,Jacob Murphy,Pass (Live),Fabian Schär,Pass (Live),2021-11-20
19,Bryan Mbeumo,Brentford,Woodwork,14.0,Left Foot,Deflected,,,,,2021-11-20
21,Allan Saint-Maximin,Newcastle Utd,Saved,18.0,Right Foot,,,,,,2021-11-20
26,Ivan Toney,Brentford,Blocked,9.0,Right Foot,,Rico Henry,Pass (Live),Bryan Mbeumo,Pass (Live),2021-11-20
28,Jonjo Shelvey,Newcastle Utd,Blocked,26.0,Right Foot,Volley,,,,,2021-11-20
30,Callum Wilson,Newcastle Utd,Saved,20.0,Right Foot,,Joe Willock,Pass (Live),Joe Willock,Dribble,2021-11-20
31,Rico Henry,Brentford,Goal,5.0,Head,,Sergi Canós,Pass (Live),Vitaly Janelt,Pass (Live),2021-11-20
34,Jacob Murphy,Newcastle Utd,Blocked,21.0,Left Foot,,Allan Saint-Maximin,Pass (Live),Joe Willock,Pass (Live),2021-11-20
36,Ivan Toney,Brentford,Saved,25.0,Left Foot,Half volley,Bryan Mbeumo,Pass (Live),Saman Ghoddos,Pass (Live),2021-11-20
37,Callum Wilson,Newcastle Utd,Wayward,11.0,Head,,Jacob Murphy,Pass (Live),Jonjo Shelvey,Pass (Live),2021-11-20
38,Fabian Schär,Newcastle Utd,Blocked,28.0,Right Foot,,Jonjo Shelvey,Pass (Live),Allan Saint-Maximin,Pass (Live),2021-11-20
39,Allan Saint-Maximin,Newcastle Utd,Blocked,23.0,Right Foot,,Jonjo Shelvey,Pass (Live),Joe Willock,Pass (Live),2021-11-20
39,Joelinton,Newcastle Utd,Goal,12.0,Left Foot,,Allan Saint-Maximin,Shot,,,2021-11-20
41,Mads Roerslev,Brentford,Blocked,31.0,Right Foot,,Christian Nørgaard,Pass (Live),Saman Ghoddos,Pass (Live),2021-11-20
43,Callum Wilson,Newcastle Utd,Blocked,3.0,Left Foot,Half volley,,,,,2021-11-20
44,Allan Saint-Maximin,Newcastle Utd,Off Target,21.0,Right Foot,,Jonjo Shelvey,Pass (Live),Jonjo Shelvey,Interception,2021-11-20
45+2,Joelinton,Newcastle Utd,Saved,16.0,Head,,Matt Ritchie,Pass (Live),Jonjo Shelvey,Pass (Dead),2021-11-20
56,Ciaran Clark,Newcastle Utd,Saved,9.0,Head,,Matt Ritchie,Pass (Dead),Joelinton,Pass (Live),2021-11-20
60,Allan Saint-Maximin,Newcastle Utd,Off Target,18.0,Right Foot,,Joe Willock,Pass (Live),Jonjo Shelvey,Pass (Live),2021-11-20
61,Frank Onyeka,Brentford,Blocked,18.0,Right Foot,,Rico Henry,Pass (Live),,,2021-11-20
64,Joelinton,Newcastle Utd,Off Target,6.0,Head,,Jonjo Shelvey,Pass (Dead),,,2021-11-20
71,Sergi Canós,Brentford,Off Target,22.0,Right Foot,Free kick,Ivan Toney,Fouled,Sergi Canós,Pass (Live),2021-11-20
75,Allan Saint-Maximin,Newcastle Utd,Goal,10.0,Right Foot,Volley,Ryan Fraser,Pass (Live),Allan Saint-Maximin,Pass (Live),2021-11-20
78,Bryan Mbeumo,Brentford,Off Target,23.0,Left Foot,Half volley,Ivan Toney,Pass (Live),,,2021-11-20
87,Allan Saint-Maximin,Newcastle Utd,Blocked,29.0,Right Foot,,Jonjo Shelvey,Pass (Live),Sean Longstaff,Pass (Live),2021-11-20
87,Callum Wilson,Newcastle Utd,Wayward,15.0,Head,,Ryan Fraser,Pass (Live),Jonjo Shelvey,Pass (Live),2021-11-20
90+1,Callum Wilson,Newcastle Utd,Off Target,16.0,Right Foot,,Joelinton,Pass (Live),Sean Longstaff,Pass (Live),2021-11-20
8,Christian Benteke,Crystal Palace,Goal,15.0,Left Foot,Deflected,Joachim Andersen,Pass (Live),,,2021-11-20
9,Conor Gallagher,Crystal Palace,Saved,16.0,Left Foot,,Christian Benteke,Pass (Live),Wilfried Zaha,Pass (Live),2021-11-20
11,Josh Brownhill,Burnley,Off Target,27.0,Right Foot,Free kick,Chris Wood,Fouled,,,2021-11-20
19,Ben Mee,Burnley,Goal,5.0,Head,,Ashley Westwood,Pass (Dead),Ashley Westwood,Pass (Live),2021-11-20
20,Jóhann Berg Guðmundsson,Burnley,Saved,10.0,Left Foot,Back heel,Dwight McNeil,Pass (Live),Dwight McNeil,Fouled,2021-11-20
20,Wilfried Zaha,Crystal Palace,Wayward,17.0,Left Foot,,Jordan Ayew,Pass (Live),Tyrick Mitchell,Pass (Live),2021-11-20
20,Christian Benteke,Crystal Palace,Off Target,6.0,Right Foot,,Wilfried Zaha,Shot,,,2021-11-20
27,Chris Wood,Burnley,Goal,7.0,Head,,James Tarkowski,Pass (Live),Dwight McNeil,Pass (Dead),2021-11-20
28,Christian Benteke,Crystal Palace,Off Target,12.0,Head,,Conor Gallagher,Pass (Live),Cheikhou Kouyaté,Pass (Live),2021-11-20
33,Luka Milivojević,Crystal Palace,Off Target,25.0,Right Foot,Free kick,Wilfried Zaha,Fouled,Christian Benteke,Pass (Live),2021-11-20
36,Christian Benteke,Crystal Palace,Goal,14.0,Right Foot,,Conor Gallagher,Pass (Live),Conor Gallagher,Dribble,2021-11-20
37,Ashley Westwood,Burnley,Blocked,18.0,Right Foot,Volley,Maxwel Cornet,Pass (Live),Charlie Taylor,Pass (Live),2021-11-20
38,Matthew Lowton,Burnley,Saved,27.0,Right Foot,,Ashley Westwood,Shot,,,2021-11-20
38,Wilfried Zaha,Crystal Palace,Off Target,28.0,Right Foot,,Cheikhou Kouyaté,Pass (Live),,,2021-11-20
39,James Tarkowski,Burnley,Wayward,9.0,Head,,Dwight McNeil,Pass (Dead),Charlie Taylor,Fouled,2021-11-20
41,Joachim Andersen,Crystal Palace,Saved,4.0,Head,,Cheikhou Kouyaté,Pass (Live),Jordan Ayew,Pass (Live),2021-11-20
41,Marc Guéhi,Crystal Palace,Goal,8.0,Right Foot,"Deflected, Half volley",Joachim Andersen,Shot,,,2021-11-20
45,Marc Guéhi,Crystal Palace,Saved,7.0,Other,,,,,,2021-11-20
47,Jóhann Berg Guðmundsson,Burnley,Off Target,21.0,Left Foot,Half volley,,,,,2021-11-20
49,Maxwel Cornet,Burnley,Goal,13.0,Left Foot,Volley,James Tarkowski,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live),2021-11-20
54,Jordan Ayew,Crystal Palace,Blocked,19.0,Right Foot,,Wilfried Zaha,Pass (Live),Christian Benteke,Pass (Live),2021-11-20
55,Christian Benteke,Crystal Palace,Blocked,11.0,Head,,Luka Milivojević,Pass (Dead),Jordan Ayew,Shot,2021-11-20
58,Jóhann Berg Guðmundsson,Burnley,Saved,18.0,Left Foot,,,,,,2021-11-20
63,Michael Olise,Crystal Palace,Blocked,24.0,Left Foot,,Conor Gallagher,Pass (Live),Cheikhou Kouyaté,Pass (Live),2021-11-20
63,Wilfried Zaha,Crystal Palace,Saved to Post,18.0,Left Foot,Volley,,,,,2021-11-20
71,Joel Ward,Crystal Palace,Off Target,22.0,Right Foot,Half volley,,,,,2021-11-20
76,James Tarkowski,Burnley,Saved,12.0,Head,,Dwight McNeil,Pass (Live),Charlie Taylor,Pass (Live),2021-11-20
79,Chris Wood,Burnley,Off Target,7.0,Head,,Dwight McNeil,Pass (Dead),Charlie Taylor,Fouled,2021-11-20
82,Luka Milivojević,Crystal Palace,Blocked,22.0,Right Foot,,Jeffrey Schlupp,Pass (Live),Wilfried Zaha,Pass (Live),2021-11-20
88,Josh Brownhill,Burnley,Saved,21.0,Right Foot,,,,,,2021-11-20
90,Jóhann Berg Guðmundsson,Burnley,Blocked,23.0,Left Foot,Half volley,,,,,2021-11-20
90+1,Michael Olise,Crystal Palace,Saved,20.0,Left Foot,,Joel Ward,Pass (Live),,,2021-11-20
90+3,Matěj Vydra,Burnley,Saved,15.0,Left Foot,,Josh Brownhill,Pass (Live),,,2021-11-20
4.0,Mohamed Salah,Liverpool,Off Target,21.0,Left Foot,,Thiago Alcántara,Pass (Live),Alex Oxlade-Chamberlain,Tackle,2021-11-20
13.0,Virgil van Dijk,Liverpool,Off Target,9.0,Head,,Kostas Tsimikas,Pass (Dead),Sadio Mané,Fouled,2021-11-20
17.0,Bukayo Saka,Arsenal,Blocked,7.0,Head,,Takehiro Tomiyasu,Pass (Live),Alexandre Lacazette,Pass (Live),2021-11-20
22.0,Alex Oxlade-Chamberlain,Liverpool,Blocked,20.0,Left Foot,,,,,,2021-11-20
23.0,Bukayo Saka,Arsenal,Blocked,16.0,Left Foot,,Pierre-Emerick Aubameyang,Pass (Live),Alexandre Lacazette,Pass (Live),2021-11-20
25.0,Virgil van Dijk,Liverpool,Blocked,9.0,Head,,Trent Alexander-Arnold,Pass (Dead),,,2021-11-20
27.0,Alex Oxlade-Chamberlain,Liverpool,Blocked,25.0,Right Foot,,Sadio Mané,Pass (Live),Thiago Alcántara,Pass (Live),2021-11-20
29.0,Thiago Alcántara,Liverpool,Saved,13.0,Left Foot,Volley,,,,,2021-11-20
29.0,Sadio Mané,Liverpool,Saved,4.0,Right Foot,,,,,,2021-11-20
35.0,Mohamed Salah,Liverpool,Saved,7.0,Left Foot,,Kostas Tsimikas,Pass (Live),Sadio Mané,Pass (Live),2021-11-20
37.0,Trent Alexander-Arnold,Liverpool,Saved,17.0,Left Foot,,Thiago Alcántara,Pass (Live),Alex Oxlade-Chamberlain,Pass (Live),2021-11-20
37.0,Trent Alexander-Arnold,Liverpool,Blocked,26.0,Right Foot,Volley,Trent Alexander-Arnold,Shot,,,2021-11-20
39.0,Sadio Mané,Liverpool,Goal,7.0,Head,,Trent Alexander-Arnold,Pass (Dead),Joël Matip,Fouled,2021-11-20
43.0,Albert Sambi Lokonga,Arsenal,Saved,26.0,Right Foot,,Bukayo Saka,Pass (Live),Thomas Partey,Pass (Live),2021-11-20
50.0,Alex Oxlade-Chamberlain,Liverpool,Off Target,15.0,Right Foot,,Alex Oxlade-Chamberlain,Dribble,Fabinho,Pass (Live),2021-11-20
50.0,Mohamed Salah,Liverpool,Blocked,13.0,Left Foot,,Trent Alexander-Arnold,Pass (Live),Alex Oxlade-Chamberlain,Pass (Live),2021-11-20
52.0,Diogo Jota,Liverpool,Goal,8.0,Left Foot,,Diogo Jota,Dribble,Diogo Jota,Dribble,2021-11-20
55.0,Thiago Alcántara,Liverpool,Blocked,11.0,Right Foot,,Thiago Alcántara,Tackle,,,2021-11-20
57.0,Trent Alexander-Arnold,Liverpool,Blocked,16.0,Right Foot,,Mohamed Salah,Pass (Live),,,2021-11-20
65.0,Pierre-Emerick Aubameyang,Arsenal,Saved,14.0,Right Foot,,Alexandre Lacazette,Pass (Live),Takehiro Tomiyasu,Pass (Live),2021-11-20
68.0,Diogo Jota,Liverpool,Saved,13.0,Left Foot,,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Live),2021-11-20
73.0,Mohamed Salah,Liverpool,Goal,3.0,Right Foot,"Open goal, Volley",Sadio Mané,Pass (Live),Diogo Jota,Pass (Live),2021-11-20
75.0,Thomas Partey,Arsenal,Saved,25.0,Right Foot,,Thomas Partey,Dribble,Nuno Tavares,Pass (Live),2021-11-20
77.0,Takumi Minamino,Liverpool,Goal,3.0,Right Foot,Open goal,Trent Alexander-Arnold,Pass (Live),Mohamed Salah,Pass (Live),2021-11-20
1,Anthony Gordon,Everton,Blocked,15.0,Right Foot,,Andros Townsend,Pass (Live),,,2021-11-21
7,João Cancelo,Manchester City,Blocked,24.0,Right Foot,,,,,,2021-11-21
11,Phil Foden,Manchester City,Off Target,5.0,Head,,Raheem Sterling,Pass (Live),Kyle Walker,Pass (Live),2021-11-21
15,Demarai Gray,Everton,Blocked,20.0,Right Foot,,Andros Townsend,Pass (Live),Fabian Delph,Pass (Live),2021-11-21
25,İlkay Gündoğan,Manchester City,Blocked,15.0,Left Foot,,Cole Palmer,Pass (Live),Phil Foden,Pass (Live),2021-11-21
27,Raheem Sterling,Manchester City,Off Target,5.0,Head,,Phil Foden,Pass (Live),John Stones,Pass (Live),2021-11-21
28,Bernardo Silva,Manchester City,Saved,9.0,Left Foot,Lob,Cole Palmer,Pass (Live),İlkay Gündoğan,Pass (Live),2021-11-21
28,İlkay Gündoğan,Manchester City,Woodwork,9.0,Head,,Bernardo Silva,Shot,,,2021-11-21
30,Cole Palmer,Manchester City,Saved,25.0,Left Foot,,Rodri,Pass (Live),Kyle Walker,Pass (Live),2021-11-21
30,Raheem Sterling,Manchester City,Saved,10.0,Left Foot,,Cole Palmer,Shot,,,2021-11-21
44,Raheem Sterling,Manchester City,Goal,12.0,Right Foot,Half volley,João Cancelo,Pass (Live),,,2021-11-21
45+4,Andros Townsend,Everton,Saved,25.0,Left Foot,Free kick,Andros Townsend,Fouled,Ben Godfrey,Pass (Live),2021-11-21
55,Rodri,Manchester City,Goal,27.0,Right Foot,,,,,,2021-11-21
60,Riyad Mahrez,Manchester City,Off Target,15.0,Left Foot,,João Cancelo,Pass (Live),Cole Palmer,Pass (Live),2021-11-21
61,Cole Palmer,Manchester City,Blocked,12.0,Right Foot,,Kyle Walker,Pass (Live),Rodri,Pass (Live),2021-11-21
